Time,People
8/1/2022 0:00,3
8/1/2022 0:00,3
8/1/2022 0:00,3
8/1/2022 0:00,2
8/1/2022 0:00,2
8/1/2022 0:00,4
8/1/2022 0:00,4
8/1/2022 0:00,3
8/1/2022 0:00,3
8/1/2022 0:00,1
8/1/2022 0:00,2
8/1/2022 0:00,1
8/1/2022 0:00,1
8/1/2022 0:00,0
8/1/2022 0:00,0
8/1/2022 0:00,0
8/1/2022 0:00,2
8/1/2022 0:00,2
8/1/2022 0:00,2
8/1/2022 0:00,2
8/1/2022 0:00,2
8/1/2022 0:00,2
8/1/2022 0:00,0
8/1/2022 0:00,0
8/1/2022 0:00,0
8/1/2022 0:00,0
8/1/2022 0:00,2
8/1/2022 0:00,2
8/1/2022 0:00,2
8/1/2022 0:00,2
8/1/2022 0:00,1
8/1/2022 0:00,1
8/1/2022 0:00,1
8/1/2022 0:00,1
8/1/2022 0:00,2
8/1/2022 0:00,5
8/1/2022 0:00,3
8/1/2022 0:00,2
8/1/2022 0:00,2
8/1/2022 0:00,1
8/1/2022 0:00,3
8/1/2022 0:00,3
8/1/2022 0:00,2
8/1/2022 0:00,3
8/1/2022 0:00,4
8/1/2022 0:00,3
8/1/2022 0:00,4
8/1/2022 0:00,2
8/1/2022 0:00,4
8/1/2022 0:00,5
8/1/2022 0:00,6
8/1/2022 0:00,4
8/1/2022 0:00,5
8/1/2022 0:00,5
8/1/2022 0:00,6
8/1/2022 0:00,6
8/1/2022 0:00,5
8/1/2022 0:00,5
8/1/2022 0:00,4
8/1/2022 0:00,4
8/1/2022 0:01,3
8/1/2022 0:01,6
8/1/2022 0:01,3
8/1/2022 0:01,3
8/1/2022 0:01,2
8/1/2022 0:01,1
8/1/2022 0:01,2
8/1/2022 0:01,2
8/1/2022 0:01,2
8/1/2022 0:01,1
8/1/2022 0:01,3
8/1/2022 0:01,6
8/1/2022 0:01,4
8/1/2022 0:01,4
8/1/2022 0:01,3
8/1/2022 0:01,4
8/1/2022 0:01,5
8/1/2022 0:01,2
8/1/2022 0:01,1
8/1/2022 0:01,2
8/1/2022 0:01,2
